per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.171 86500000.5 70 15 3 5 4 1 2 4 1 3 0 4 0 6 3 3 1 0 4 1 5 1
temp_spectre.172 87000000.5 74 18 3 4 4 1 2 4 1 3 0 3 0 8 3 3 1 0 5 1 5 1
temp_spectre.173 87500000.5 36 13 2 6 0 0 0 0 0 0 2 0 0 4 1 3 0 0 2 0 3 0
temp_spectre.174 88000000.5 57 16 7 9 1 1 0 1 2 1 2 1 1 1 4 3 0 0 1 0 3 0
temp_spectre.175 88500000.5 57 7 8 8 1 1 1 3 3 1 0 1 5 1 3 0 2 5 0 0 1 3
temp_spectre.176 89000000.5 104 12 6 11 0 1 4 4 1 0 2 3 7 10 4 6 4 7 12 5 1 3
temp_spectre.177 89500000.5 79 11 3 6 0 1 4 2 0 3 2 3 3 9 4 6 2 2 12 5 0 0
temp_spectre.178 90000000.5 47 14 4 8 2 0 1 3 0 4 0 0 1 1 3 1 1 2 1 0 0 1
temp_spectre.179 90500000.5 84 23 13 14 10 1 3 3 0 1 0 0 1 2 3 1 1 2 1 0 0 2
temp_spectre.180 91000000.5 49 14 10 6 8 2 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
temp_spectre.181 91500000.5 84 32 17 5 1 3 2 0 1 1 1 0 2 1 2 1 0 0 2 2 4 2
temp_spectre.182 92000000.5 111 37 17 8 2 4 2 1 1 1 2 0 6 2 3 1 0 0 3 4 10 3
temp_spectre.183 92500000.5 46 16 1 4 1 2 0 1 0 0 1 0 6 2 1 0 0 0 1 2 6 1
temp_spectre.184 93000000.5 16 8 1 2 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0
temp_spectre.185 93500000.5 13 5 3 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
temp_spectre.186 94000000.5 12 4 2 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
temp_spectre.187 94500000.5 18 3 2 0 0 1 0 0 2 4 0 0 3 1 0 0 0 1 0 1 0 0
temp_spectre.188 95000000.5 33 8 2 2 0 1 0 0 2 4 0 0 2 1 4 0 0 6 0 1 0 0
temp_spectre.189 95500000.5 29 11 1 2 0 2 1 0 1 0 0 0 1 0 4 0 0 5 0 0 0 0
temp_spectre.190 96000000.5 26 13 1 1 1 3 2 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1
temp_spectre.191 96500000.5 25 12 1 1 3 2 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2
temp_spectre.192 97000000.5 41 20 3 2 2 2 1 0 1 0 1 0 1 1 0 0 0 0 0 1 2 4
