per_plot V2 V3 V4 V5 V6 V7
temp_spectre.285 143500000.5 79 11 15 10 8 5
temp_spectre.286 144000000.5 108 12 15 13 7 18
temp_spectre.287 144500000.5 110 18 10 14 11 20
temp_spectre.288 145000000.5 94 15 12 10 15 6
temp_spectre.289 145500000.5 79 10 15 4 8 2
temp_spectre.290 146000000.5 71 8 11 10 2 2
temp_spectre.291 146500000.5 87 11 12 8 4 2
temp_spectre.292 147000000.5 95 17 10 8 6 1
temp_spectre.293 147500000.5 76 15 9 11 4 1
temp_spectre.294 148000000.5 69 20 7 6 3 1
temp_spectre.295 148500000.5 87 23 11 8 4 1
temp_spectre.296 149000000.5 83 16 12 5 3 8
temp_spectre.297 149500000.5 65 13 6 4 1 9
temp_spectre.298 150000000.5 37 8 4 4 0 3
temp_spectre.299 150500000.5 7 2 0 0 0 2
